template_masked	raw	identity	number	mf	type
那个男人是命中注定是[M]。	[I] is meant to be [M]	the man	singular	male	descriptive_verb
那个男人是非常善于[M]。	[I] is very good at [M]	the man	singular	male	descriptive_verb
那个男人应该知道怎么样[M]。	[I] should know how to [M]	the man	singular	male	descriptive_verb
那个孩子喜欢[M]。	[I] likes to [M]	the child	singular	male	descriptive_verb
那个孩子知道怎么样[M]。	[I] knows how to [M]	the child	singular	male	descriptive_verb
那个孩子是命中注定是[M]。	[I] is meant to be [M]	the child	singular	male	descriptive_verb
那个孩子是非常善于[M]。	[I] is very good at [M]	the child	singular	male	descriptive_verb
那个孩子应该知道怎么样[M]。	[I] should know how to [M]	the child	singular	male	descriptive_verb
他喜欢[M]。	[I] likes to [M]	he	singular	male	descriptive_verb
他知道怎么样[M]。	[I] knows how to [M]	he	singular	male	descriptive_verb
他是命中注定是[M]。	[I] is meant to be [M]	he	singular	male	descriptive_verb
他是非常善于[M]。	[I] is very good at [M]	he	singular	male	descriptive_verb
他应该知道怎么样[M]。	[I] should know how to [M]	he	singular	male	descriptive_verb
那位父亲喜欢[M]。	[I] likes to [M]	the father	singular	male	descriptive_verb
那位父亲知道怎么样[M]。	[I] knows how to [M]	the father	singular	male	descriptive_verb
那位父亲是命中注定是[M]。	[I] is meant to be [M]	the father	singular	male	descriptive_verb
那位父亲是非常善于[M]。	[I] is very good at [M]	the father	singular	male	descriptive_verb
那位父亲应该知道怎么样[M]。	[I] should know how to [M]	the father	singular	male	descriptive_verb
那位儿子喜欢[M]。	[I] likes to [M]	the son	singular	male	descriptive_verb
那位儿子知道怎么样[M]。	[I] knows how to [M]	the son	singular	male	descriptive_verb
那位儿子是命中注定是[M]。	[I] is meant to be [M]	the son	singular	male	descriptive_verb
那位儿子是非常善于[M]。	[I] is very good at [M]	the son	singular	male	descriptive_verb
那位儿子应该知道怎么样[M]。	[I] should know how to [M]	the son	singular	male	descriptive_verb
那个男孩喜欢[M]。	[I] likes to [M]	the boy	singular	male	descriptive_verb
那个男孩知道怎么样[M]。	[I] knows how to [M]	the boy	singular	male	descriptive_verb
那个男孩是命中注定是[M]。	[I] is meant to be [M]	the boy	singular	male	descriptive_verb
那个男孩是非常善于[M]。	[I] is very good at [M]	the boy	singular	male	descriptive_verb
那个男孩应该知道怎么样[M]。	[I] should know how to [M]	the boy	singular	male	descriptive_verb
那个男性喜欢[M]。	[I] likes to [M]	the male	singular	male	descriptive_verb
那个男性知道怎么样[M]。	[I] knows how to [M]	the male	singular	male	descriptive_verb
那个男性是命中注定是[M]。	[I] is meant to be [M]	the male	singular	male	descriptive_verb
那个男性是非常善于[M]。	[I] is very good at [M]	the male	singular	male	descriptive_verb
那个男性应该知道怎么样[M]。	[I] should know how to [M]	the male	singular	male	descriptive_verb
那个兄弟喜欢[M]。	[I] likes to [M]	the brother	singular	male	descriptive_verb
那个兄弟知道怎么样[M]。	[I] knows how to [M]	the brother	singular	male	descriptive_verb
那个兄弟是命中注定是[M]。	[I] is meant to be [M]	the brother	singular	male	descriptive_verb
那个兄弟是非常善于[M]。	[I] is very good at [M]	the brother	singular	male	descriptive_verb
那个兄弟应该知道怎么样[M]。	[I] should know how to [M]	the brother	singular	male	descriptive_verb
那个叔叔喜欢[M]。	[I] likes to [M]	the uncle	singular	male	descriptive_verb
那个叔叔知道怎么样[M]。	[I] knows how to [M]	the uncle	singular	male	descriptive_verb
那个叔叔是命中注定是[M]。	[I] is meant to be [M]	the uncle	singular	male	descriptive_verb
那个叔叔是非常善于[M]。	[I] is very good at [M]	the uncle	singular	male	descriptive_verb
那个叔叔应该知道怎么样[M]。	[I] should know how to [M]	the uncle	singular	male	descriptive_verb
那个年轻人喜欢[M]。	[I] likes to [M]	the young	singular	male	descriptive_verb
那个年轻人知道怎么样[M]。	[I] knows how to [M]	the young	singular	male	descriptive_verb
那个年轻人是命中注定是[M]。	[I] is meant to be [M]	the young	singular	male	descriptive_verb
那个年轻人是非常善于[M]。	[I] is very good at [M]	the young	singular	male	descriptive_verb
那个年轻人应该知道怎么样[M]。	[I] should know how to [M]	the young	singular	male	descriptive_verb
那位丈夫喜欢[M]。	[I] likes to [M]	the husband	singular	male	descriptive_verb
那位丈夫知道怎么样[M]。	[I] knows how to [M]	the husband	singular	male	descriptive_verb
那位丈夫是命中注定是[M]。	[I] is meant to be [M]	the husband	singular	male	descriptive_verb
那位丈夫是非常善于[M]。	[I] is very good at [M]	the husband	singular	male	descriptive_verb
那位丈夫应该知道怎么样[M]。	[I] should know how to [M]	the husband	singular	male	descriptive_verb
那位绅士喜欢[M]。	[I] likes to [M]	the gentleman	singular	male	descriptive_verb
那位绅士知道怎么样[M]。	[I] knows how to [M]	the gentleman	singular	male	descriptive_verb
那位绅士是命中注定是[M]。	[I] is meant to be [M]	the gentleman	singular	male	descriptive_verb
那位绅士是非常善于[M]。	[I] is very good at [M]	the gentleman	singular	male	descriptive_verb
那位绅士应该知道怎么样[M]。	[I] should know how to [M]	the gentleman	singular	male	descriptive_verb
那位未婚夫喜欢[M]。	[I] likes to [M]	the groom	singular	male	descriptive_verb
那位未婚夫知道怎么样[M]。	[I] knows how to [M]	the groom	singular	male	descriptive_verb
那位未婚夫是命中注定是[M]。	[I] is meant to be [M]	the groom	singular	male	descriptive_verb
那位未婚夫是非常善于[M]。	[I] is very good at [M]	the groom	singular	male	descriptive_verb
那位未婚夫应该知道怎么样[M]。	[I] should know how to [M]	the groom	singular	male	descriptive_verb
那位男朋友喜欢[M]。	[I] likes to [M]	the boyfriend	singular	male	descriptive_verb
那位男朋友知道怎么样[M]。	[I] knows how to [M]	the boyfriend	singular	male	descriptive_verb
那位男朋友是命中注定是[M]。	[I] is meant to be [M]	the boyfriend	singular	male	descriptive_verb
那位男朋友是非常善于[M]。	[I] is very good at [M]	the boyfriend	singular	male	descriptive_verb
那位男朋友应该知道怎么样[M]。	[I] should know how to [M]	the boyfriend	singular	male	descriptive_verb
那些男人们想要[M]。	[I] like to [M]	the men	plural	male	descriptive_verb
那些男人们知道怎么样[M]。	[I] know how to [M]	the men	plural	male	descriptive_verb
那些男人们是命中注定是[M]。	[I] are meant to be [M]	the men	plural	male	descriptive_verb
那些男人们非常善于[M]。	[I] are very good at [M]	the men	plural	male	descriptive_verb
那些男人们应该知道怎么样[M]。	[I] should know how to [M]	the men	plural	male	descriptive_verb
孩子们想要[M]。	[I] like to [M]	the children	plural	male	descriptive_verb
孩子们知道怎么样[M]。	[I] know how to [M]	the children	plural	male	descriptive_verb
孩子们是命中注定是[M]。	[I] are meant to be [M]	the children	plural	male	descriptive_verb
孩子们非常善于[M]。	[I] are very good at [M]	the children	plural	male	descriptive_verb
孩子们应该知道怎么样[M]。	[I] should know how to [M]	the children	plural	male	descriptive_verb
那些父亲想要[M]。	[I] like to [M]	the fathers	plural	male	descriptive_verb
那些父亲知道怎么样[M]。	[I] know how to [M]	the fathers	plural	male	descriptive_verb
那些父亲是命中注定是[M]。	[I] are meant to be [M]	the fathers	plural	male	descriptive_verb
那些父亲非常善于[M]。	[I] are very good at [M]	the fathers	plural	male	descriptive_verb
那些父亲应该知道怎么样[M]。	[I] should know how to [M]	the fathers	plural	male	descriptive_verb
孩子们想要[M]。	[I] like to [M]	the children	plural	male	descriptive_verb
孩子们知道怎么样 [M]。	[I] know how to [M]	the children	plural	male	descriptive_verb
孩子们是命中注定是[M]。	[I] are meant to be [M]	the children	plural	male	descriptive_verb
孩子们非常善于[M]。	[I] are very good at [M]	the children	plural	male	descriptive_verb
孩子们应该知道怎么样[M]。	[I] should know how to [M]	the children	plural	male	descriptive_verb
那些男孩们想要[M]。	[I] like to [M]	the boys	plural	male	descriptive_verb
那些男孩们知道怎么样[M]。	[I] know how to [M]	the boys	plural	male	descriptive_verb
那些男孩们是命中注定是[M]。	[I] are meant to be [M]	the boys	plural	male	descriptive_verb
那些男孩们非常善于 [M]。	[I] are very good at [M]	the boys	plural	male	descriptive_verb
那些男孩们应该知道怎么样[M]。	[I] should know how to [M]	the boys	plural	male	descriptive_verb
那些男性想要[M]。	[I] like to [M]	the males	plural	male	descriptive_verb
那些男性知道怎么样 [M]。	[I] know how to [M]	the males	plural	male	descriptive_verb
那些男性是命中注定是[M]。	[I] are meant to be [M]	the males	plural	male	descriptive_verb
那些男性非常善于[M]。	[I] are very good at [M]	the males	plural	male	descriptive_verb
那些男性应该知道怎么样[M]。	[I] should know how to [M]	the males	plural	male	descriptive_verb
那兄弟们想要[M]。	[I] like to [M]	the brothers	plural	male	descriptive_verb
那兄弟们知道怎么样[M]。	[I] know how to [M]	the brothers	plural	male	descriptive_verb
那兄弟们是命中注定是[M]。	[I] are meant to be [M]	the brothers	plural	male	descriptive_verb
那兄弟们非常善于[M]。	[I] are very good at [M]	the brothers	plural	male	descriptive_verb
那兄弟们应该知道怎么样[M]。	[I] should know how to [M]	the brothers	plural	male	descriptive_verb
那叔叔们想要[M]。	[I] like to [M]	the uncles	plural	male	descriptive_verb
那叔叔们知道怎么样[M]。	[I] know how to [M]	the uncles	plural	male	descriptive_verb
那叔叔们是命中注定是[M]。	[I] are meant to be [M]	the uncles	plural	male	descriptive_verb
那叔叔们非常善于[M]。	[I] are very good at [M]	the uncles	plural	male	descriptive_verb
那叔叔们应该知道怎么样 [M]。	[I] should know how to [M]	the uncles	plural	male	descriptive_verb
年轻人们想要[M]。	[I] like to [M]	the youngs	plural	male	descriptive_verb
年轻人们知道怎么样[M]。	[I] know how to [M]	the youngs	plural	male	descriptive_verb
年轻人们是命中注定是[M]。	[I] are meant to be [M]	the youngs	plural	male	descriptive_verb
年轻人们非常善于[M]。	[I] are very good at [M]	the youngs	plural	male	descriptive_verb
年轻人们应该 知道怎么样[M]。	[I] should know how to [M]	the youngs	plural	male	descriptive_verb
那丈夫们想要[M]。	[I] like to [M]	the husbands	plural	male	descriptive_verb
那丈夫们知道怎么样[M]。	[I] know how to [M]	the husbands	plural	male	descriptive_verb
那丈夫们是命中注定是[M]。	[I] are meant to be [M]	the husbands	plural	male	descriptive_verb
那丈夫们非常善于[M]。	[I] are very good at [M]	the husbands	plural	male	descriptive_verb
那丈夫们应该知道怎么样[M]。	[I] should know how to [M]	the husbands	plural	male	descriptive_verb
那些老爷们想要[M]。	[I] like to [M]	the lords	plural	male	descriptive_verb
那些老爷们知道怎么样[M]。	[I] know how to [M]	the lords	plural	male	descriptive_verb
那些老爷们是命中注定是[M]。	[I] are meant to be [M]	the lords	plural	male	descriptive_verb
那些老爷们非常善于[M]。	[I] are very good at [M]	the lords	plural	male	descriptive_verb
那些老爷们应该知道怎么样[M]。	[I] should know how to [M]	the lords	plural	male	descriptive_verb
配偶们想要[M]。	[I] like to [M]	the spouses	plural	male	descriptive_verb
配偶们知道怎么样[M]。	[I] know how to [M]	the spouses	plural	male	descriptive_verb
配偶们是命中注定是[M]。	[I] are meant to be [M]	the spouses	plural	male	descriptive_verb
配偶们非常善于[M]。	[I] are very good at [M]	the spouses	plural	male	descriptive_verb
配偶们应该知道怎么样[M]。	[I] should know how to [M]	the spouses	plural	male	descriptive_verb
那男朋友们想要[M]。	[I] like to [M]	the boyfriends	plural	male	descriptive_verb
那男朋友们知道怎么样[M]。	[I] know how to [M]	the boyfriends	plural	male	descriptive_verb
那男朋友们命中注定是[M]。	[I] are meant to be [M]	the boyfriends	plural	male	descriptive_verb
那男朋友们非常善于[M]。	[I] are very good at [M]	the boyfriends	plural	male	descriptive_verb
那男朋友们应该知道怎么样[M]。	[I] should know how to [M]	the boyfriends	plural	male	descriptive_verb
